Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,Command
22时44分49秒,1000,5624,0.00,1.00,0.00,0.00,0.50,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时44分50秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时44分51秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,2780280,209320,5.28,0.00,8.00,0.00,0,java

22时44分52秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时44分53秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时44分54秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,2780280,209320,5.28,0.00,4.00,0.00,0,java

22时44分55秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时44分56秒,1000,5624,1.00,0.00,0.00,0.00,0.51,0,2.00,0.00,2780280,209320,5.28,0.00,8.00,0.00,0,java

22时44分57秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,2780280,209320,5.28,0.00,4.00,0.00,0,java

22时44分58秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时44分59秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时45分00秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时45分01秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时45分02秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,2780280,209320,5.28,0.00,8.00,0.00,0,java

22时45分03秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,2780280,209320,5.28,0.00,4.00,0.00,0,java

22时45分04秒,1000,5624,0.00,1.00,0.00,0.00,0.50,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时45分05秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时45分06秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时45分07秒,1000,5624,1.00,0.00,0.00,0.00,0.51,0,2.00,0.00,2780280,209320,5.28,0.00,8.00,0.00,0,java

22时45分08秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时45分09秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,2780280,209320,5.28,0.00,4.00,0.00,0,java

22时45分10秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时45分11秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,209320,5.28,0.00,0.00,0.00,0,java

22时45分12秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,2780280,209320,5.28,0.00,8.00,0.00,0,java

22时45分13秒,1000,5624,16.00,12.00,0.00,0.00,14.14,0,21.00,1.00,2780280,209448,5.29,16.00,14312.00,0.00,0,java

22时45分14秒,1000,5624,7.00,16.00,0.00,0.00,11.62,0,3.00,5.00,2780280,209448,5.29,56.00,13384.00,0.00,0,java

22时45分15秒,1000,5624,6.00,15.00,0.00,0.00,10.77,0,0.00,1.00,2780280,209448,5.29,16.00,12000.00,0.00,0,java

22时45分16秒,1000,5624,6.00,15.00,0.00,0.00,10.77,0,0.00,0.00,2780280,209448,5.29,0.00,12512.00,0.00,0,java

22时45分17秒,1000,5624,93.00,6.00,0.00,0.00,50.25,0,454.00,247.00,2780280,212136,5.36,3408.00,5680.00,0.00,0,java

22时45分18秒,1000,5624,44.00,42.00,0.00,0.00,43.88,0,915.00,367.00,2780280,213856,5.40,5992.00,11024.00,0.00,0,java

22时45分19秒,1000,5624,8.91,3.96,0.00,0.00,6.60,0,209.90,42.57,2780280,214752,5.42,780.20,253.47,0.00,0,java

22时45分20秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,214752,5.42,0.00,0.00,0.00,0,java

22时45分21秒,1000,5624,4.00,1.00,0.00,0.00,2.54,0,19.00,3.00,2780280,214752,5.42,24.00,0.00,0.00,0,java

22时45分22秒,1000,5624,3.00,1.00,0.00,0.00,2.02,0,0.00,0.00,2780280,214752,5.42,0.00,0.00,0.00,0,java

22时45分23秒,1000,5624,11.00,1.00,0.00,0.00,6.06,0,30.00,24.00,2780280,214880,5.42,212.00,0.00,0.00,0,java

22时45分24秒,1000,5624,1.00,0.00,0.00,0.00,0.51,0,0.00,0.00,2780280,214880,5.42,0.00,0.00,0.00,0,java

22时45分25秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,214880,5.42,0.00,0.00,0.00,0,java

22时45分26秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,17.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分27秒,1000,5624,1.00,0.00,0.00,0.00,0.50,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分28秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分29秒,1000,5624,1.00,1.00,0.00,0.00,1.15,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分30秒,1000,5624,1.00,3.00,0.00,0.00,2.04,0,20.00,0.00,2780280,215008,5.43,0.00,272.00,0.00,0,java

22时45分31秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分32秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分33秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分34秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分35秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分36秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分37秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分38秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分39秒,1000,5624,1.00,1.00,0.00,0.00,1.03,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分40秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分41秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分42秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

22时45分43秒,1000,5624,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2780280,215008,5.43,0.00,0.00,0.00,0,java

