Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,Command
19时58分52秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,202744,5.12,java

19时58分53秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,2774584,202744,5.12,java

19时58分54秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,2774584,202744,5.12,java

19时58分55秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,202744,5.12,java

19时58分56秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,202744,5.12,java

19时58分57秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,23.00,1.00,2774584,202744,5.12,java

19时58分58秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,202744,5.12,java

19时58分59秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,2774584,202744,5.12,java

19时59分00秒,1000,3590,1.00,0.00,0.00,0.00,0.50,0,12.00,0.00,2774584,202872,5.12,java

19时59分01秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,202872,5.12,java

19时59分02秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,202872,5.12,java

19时59分03秒,1000,3590,9.00,3.00,0.00,0.00,6.06,0,90.00,11.00,2774584,203256,5.13,java

19时59分04秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,2774584,203256,5.13,java

19时59分05秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,203256,5.13,java

19时59分06秒,1000,3590,1.00,0.00,0.00,0.00,0.50,0,19.00,6.00,2774584,203384,5.13,java

19时59分07秒,1000,3590,0.00,1.00,0.00,0.00,0.51,0,2.00,0.00,2774584,203384,5.13,java

19时59分08秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,203384,5.13,java

19时59分09秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,2774584,203384,5.13,java

19时59分10秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,6.00,1.00,2774584,203384,5.13,java

19时59分11秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,203384,5.13,java

19时59分12秒,1000,3590,1.00,0.00,0.00,0.00,0.51,0,32.00,2.00,2774584,203512,5.14,java

19时59分13秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,2774584,203512,5.14,java

19时59分14秒,1000,3590,5.00,5.00,0.00,0.00,5.03,0,91.00,20.00,2774584,204024,5.15,java

19时59分15秒,1000,3590,1.00,1.00,0.00,0.00,1.02,0,51.00,9.00,2774584,204280,5.16,java

19时59分16秒,1000,3590,2.00,5.00,0.00,0.00,3.54,0,66.00,11.00,2774584,204536,5.16,java

19时59分17秒,1000,3590,9.00,3.00,0.00,0.00,6.00,0,81.00,13.00,2774584,204792,5.17,java

19时59分18秒,1000,3590,1.00,0.00,0.00,0.00,0.51,0,15.00,2.00,2774584,204792,5.17,java

19时59分19秒,1000,3590,14.00,0.00,0.00,0.00,7.00,0,76.00,22.00,2774584,205176,5.18,java

19时59分20秒,1000,3590,1.00,1.00,0.00,0.00,1.01,0,8.00,5.00,2774584,205304,5.18,java

19时59分21秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,23.00,4.00,2774584,205304,5.18,java

19时59分22秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,12.87,1.98,2774584,205304,5.18,java

19时59分23秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,12.00,1.00,2774584,205432,5.19,java

