Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,Command
10时27分47秒,1000,4053,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3577972,269476,6.80,0.00,0.00,0.00,0,java

10时27分48秒,1000,4053,1.00,0.00,0.00,0.00,0.50,1,0.00,0.00,3577972,269476,6.80,0.00,0.00,0.00,0,java

10时27分49秒,1000,4053,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3577972,269476,6.80,0.00,0.00,0.00,0,java

10时27分50秒,1000,4053,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3577972,269476,6.80,0.00,0.00,0.00,0,java

10时27分51秒,1000,4053,0.00,0.00,0.00,0.00,0.00,1,2.00,0.00,3577972,269476,6.80,0.00,8.00,0.00,0,java

10时27分52秒,1000,4053,5.00,1.00,0.00,0.00,3.03,1,1156.00,0.00,3577972,274084,6.92,284.00,12.00,0.00,0,java

10时27分53秒,1000,4053,17.00,2.00,0.00,0.00,9.60,1,472.00,0.00,3580020,276004,6.97,536.00,12.00,0.00,0,java

10时27分54秒,1000,4053,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3580020,276004,6.97,0.00,0.00,0.00,0,java

10时27分55秒,1000,4053,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3580020,276004,6.97,0.00,0.00,0.00,0,java

10时27分56秒,1000,4053,2.00,0.00,0.00,0.00,1.01,1,69.00,0.00,3585144,276260,6.97,0.00,24.00,0.00,0,java

10时27分57秒,1000,4053,0.00,0.00,0.00,0.00,0.00,1,1.00,0.00,3585144,276260,6.97,0.00,4.00,0.00,0,java

10时27分58秒,1000,4053,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,276260,6.97,0.00,0.00,0.00,0,java

10时27分59秒,1000,4053,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,3585144,276260,6.97,0.00,0.00,0.00,0,java

