Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,Command
10时27分47秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3578696,257692,6.51,0.00,0.00,0.00,0,java

10时27分48秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3578696,257692,6.51,0.00,0.00,0.00,0,java

10时27分49秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3578696,257692,6.51,0.00,0.00,0.00,0,java

10时27分50秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3578696,257692,6.51,0.00,0.00,0.00,0,java

10时27分51秒,1000,6400,1.00,0.00,0.00,0.00,0.50,0,2.00,0.00,3578696,257692,6.51,0.00,8.00,0.00,0,java

10时27分52秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,4.00,0.00,3578696,257692,6.51,0.00,12.00,0.00,0,java

10时27分53秒,1000,6400,16.00,3.00,0.00,0.00,9.50,0,2436.00,0.00,3580744,267420,6.75,312.00,4.00,0.00,0,java

10时27分54秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,267420,6.75,0.00,0.00,0.00,0,java

10时27分55秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,267420,6.75,0.00,0.00,0.00,0,java

10时27分56秒,1000,6400,1.00,0.00,0.00,0.00,0.51,0,5.00,0.00,3580744,267420,6.75,0.00,12.00,0.00,0,java

10时27分57秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.99,0.00,3580744,267420,6.75,0.00,3.96,0.00,0,java

10时27分58秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,267420,6.75,0.00,0.00,0.00,0,java

10时27分59秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,266652,6.73,0.00,0.00,0.00,0,java

10时28分00秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,240156,6.06,0.00,0.00,0.00,0,java

10时28分01秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,234140,5.91,0.00,8.00,0.00,0,java

10时28分02秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,234140,5.91,0.00,0.00,0.00,0,java

10时28分03秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,130204,3.29,0.00,0.00,0.00,0,java

10时28分04秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,110748,2.80,0.00,0.00,0.00,0,java

10时28分05秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,110748,2.80,0.00,0.00,0.00,0,java

10时28分06秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,110748,2.80,0.00,8.00,0.00,0,java

10时28分07秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,110748,2.80,0.00,0.00,0.00,0,java

10时28分08秒,1000,6400,1.00,0.00,0.00,0.00,0.51,0,1.00,1.00,3580744,110748,2.80,16.00,4.00,0.00,0,java

10时28分09秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,110748,2.80,0.00,0.00,0.00,0,java

10时28分10秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,110748,2.80,0.00,0.00,0.00,0,java

10时28分11秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,8.00,12.00,3580744,110748,2.80,84.00,8.00,0.00,0,java

10时28分12秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,9.00,5.00,3580744,108828,2.75,76.00,4.00,0.00,0,java

10时28分13秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分14秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分15秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分16秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,93084,2.35,0.00,8.00,0.00,0,java

10时28分17秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分18秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分19秒,1000,6400,1.00,0.00,0.00,0.00,0.50,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分20秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分21秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,93084,2.35,0.00,8.00,0.00,0,java

10时28分22秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,93084,2.35,0.00,8.00,0.00,0,java

10时28分23秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分24秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分25秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分26秒,1000,6400,0.00,1.00,0.00,0.00,0.50,0,15.00,46.00,3580744,93212,2.35,404.00,4.00,0.00,0,java

10时28分27秒,1000,6400,1.00,0.00,0.00,0.00,0.50,0,25.00,66.00,3580744,93340,2.36,408.00,4.00,0.00,0,java

10时28分28秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,93340,2.36,0.00,8.00,0.00,0,java

10时28分29秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93340,2.36,0.00,0.00,0.00,0,java

10时28分30秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93340,2.36,0.00,0.00,0.00,0,java

10时28分31秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93340,2.36,0.00,0.00,0.00,0,java

10时28分32秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93340,2.36,0.00,0.00,0.00,0,java

10时28分33秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,93340,2.36,0.00,8.00,0.00,0,java

10时28分34秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93340,2.36,0.00,0.00,0.00,0,java

10时28分35秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分36秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分37秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分38秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,93084,2.35,0.00,8.00,0.00,0,java

10时28分39秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分40秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,93084,2.35,0.00,0.00,0.00,0,java

10时28分41秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,13.86,42.57,3580744,93340,2.36,265.35,3.96,0.00,0,java

10时28分42秒,1000,6400,1.00,1.00,0.00,0.00,1.00,0,89.00,140.00,3580744,94108,2.38,1084.00,0.00,0.00,0,java

10时28分43秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,3.00,0.00,3580744,94108,2.38,0.00,8.00,0.00,0,java

10时28分44秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94108,2.38,0.00,0.00,0.00,0,java

10时28分45秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94108,2.38,0.00,0.00,0.00,0,java

10时28分46秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94108,2.38,0.00,0.00,0.00,0,java

10时28分47秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94108,2.38,0.00,0.00,0.00,0,java

10时28分48秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,94108,2.38,0.00,8.00,0.00,0,java

10时28分49秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94108,2.38,0.00,0.00,0.00,0,java

10时28分50秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94108,2.38,0.00,0.00,0.00,0,java

10时28分51秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94108,2.38,0.00,0.00,0.00,0,java

10时28分52秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94108,2.38,0.00,0.00,0.00,0,java

10时28分53秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,94108,2.38,0.00,8.00,0.00,0,java

10时28分54秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94108,2.38,0.00,0.00,0.00,0,java

10时28分55秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94108,2.38,0.00,0.00,0.00,0,java

10时28分56秒,1000,6400,1.00,0.00,0.00,0.00,0.51,0,17.00,18.00,3580744,94236,2.38,184.00,8.00,0.00,0,java

10时28分57秒,1000,6400,1.00,0.00,0.00,0.00,0.53,0,18.00,35.00,3580744,94364,2.38,316.00,0.00,0.00,0,java

10时28分58秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,94364,2.38,0.00,8.00,0.00,0,java

10时28分59秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94364,2.38,0.00,0.00,0.00,0,java

10时29分00秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94364,2.38,0.00,0.00,0.00,0,java

10时29分01秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94364,2.38,0.00,0.00,0.00,0,java

10时29分02秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3580744,94364,2.38,0.00,0.00,0.00,0,java

10时29分03秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3580744,94364,2.38,0.00,8.00,0.00,0,java

10时29分04秒,1000,6400,4.00,2.00,0.00,0.00,3.03,0,441.00,427.00,3580744,97052,2.45,3648.00,8.00,0.00,0,java

10时29分05秒,1000,6400,35.00,19.00,0.00,0.00,26.73,0,10511.00,3178.00,3583816,143772,3.63,40916.00,4.00,0.00,0,java

10时29分06秒,1000,6400,27.00,15.00,0.00,0.00,22.46,0,3121.00,711.00,3584840,122140,3.08,13064.00,0.00,0.00,0,java

10时29分07秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3584840,122140,3.08,0.00,0.00,0.00,0,java

10时29分08秒,1000,6400,15.00,4.00,0.00,0.00,9.64,0,1289.00,299.00,3585864,127772,3.23,5660.00,0.00,0.00,0,java

10时29分09秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,8.00,1.00,3585864,127772,3.23,16.00,8.00,0.00,0,java

10时29分10秒,1000,6400,1.00,0.00,0.00,0.00,0.50,0,0.00,0.00,3585864,127772,3.23,0.00,0.00,0.00,0,java

10时29分11秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,6.00,6.00,3585864,127772,3.23,56.00,4.00,0.00,0,java

10时29分12秒,1000,6400,0.00,1.00,0.00,0.00,0.50,0,28.00,10.00,3585864,127900,3.23,140.00,4.00,0.00,0,java

10时29分13秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,127900,3.23,0.00,0.00,0.00,0,java

10时29分14秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3585864,127900,3.23,0.00,8.00,0.00,0,java

10时29分15秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,127900,3.23,0.00,0.00,0.00,0,java

10时29分16秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117148,2.96,0.00,0.00,0.00,0,java

10时29分17秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117148,2.96,0.00,0.00,0.00,0,java

10时29分18秒,1000,6400,1.00,0.00,0.00,0.00,0.51,0,0.00,0.00,3585864,117148,2.96,0.00,0.00,0.00,0,java

10时29分19秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3585864,117148,2.96,0.00,8.00,0.00,0,java

10时29分20秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117148,2.96,0.00,0.00,0.00,0,java

10时29分21秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117148,2.96,0.00,0.00,0.00,0,java

10时29分22秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117148,2.96,0.00,0.00,0.00,0,java

10时29分23秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117148,2.96,0.00,0.00,0.00,0,java

10时29分24秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,1.98,0.00,3585864,117148,2.96,0.00,7.92,0.00,0,java

10时29分25秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117148,2.96,0.00,0.00,0.00,0,java

10时29分26秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,45.00,9.00,3585864,117276,2.96,156.00,8.00,0.00,0,java

10时29分27秒,1000,6400,1.00,0.00,0.00,0.00,0.50,0,27.00,5.00,3585864,117532,2.97,116.00,0.00,0.00,0,java

10时29分28秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117532,2.97,0.00,0.00,0.00,0,java

10时29分29秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3585864,117532,2.97,0.00,8.00,0.00,0,java

10时29分30秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117532,2.97,0.00,0.00,0.00,0,java

10时29分31秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117532,2.97,0.00,0.00,0.00,0,java

10时29分32秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117532,2.97,0.00,0.00,0.00,0,java

10时29分33秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,117532,2.97,0.00,0.00,0.00,0,java

10时29分34秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3585864,117532,2.97,0.00,8.00,0.00,0,java

10时29分35秒,1000,6400,0.00,1.00,0.00,0.00,0.54,0,1.00,1.00,3585864,111644,2.82,16.00,0.00,0.00,0,java

10时29分36秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,111644,2.82,0.00,0.00,0.00,0,java

10时29分37秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,111644,2.82,0.00,0.00,0.00,0,java

10时29分38秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,16.00,6.00,3585864,111644,2.82,152.00,4.00,0.00,0,java

10时29分39秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,1.00,3585864,111644,2.82,16.00,8.00,0.00,0,java

10时29分40秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,111644,2.82,0.00,0.00,0.00,0,java

10时29分41秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,20.00,14.00,3585864,111772,2.82,160.00,0.00,0.00,0,java

10时29分42秒,1000,6400,0.00,1.00,0.00,0.00,0.51,0,10.00,8.00,3585864,111772,2.82,68.00,4.00,0.00,0,java

10时29分43秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,111772,2.82,0.00,0.00,0.00,0,java

10时29分44秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3585864,111772,2.82,0.00,8.00,0.00,0,java

10时29分45秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,111772,2.82,0.00,0.00,0.00,0,java

10时29分46秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,111772,2.82,0.00,0.00,0.00,0,java

10时29分47秒,1000,6400,1.00,2.00,0.00,0.00,1.52,0,641.00,249.00,3585864,114588,2.89,3560.00,16.00,0.00,0,java

10时29分48秒,1000,6400,3.00,1.00,0.00,0.00,2.02,0,315.00,108.00,3585864,115868,2.93,1388.00,0.00,0.00,0,java

10时29分49秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3585864,115868,2.93,0.00,0.00,0.00,0,java

10时29分50秒,1000,6400,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,3585864,115868,2.93,0.00,8.00,0.00,0,java

